"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJFINSV","EQ","03-Sep-2020","       6365.05","       6390.00","       6455.00","       6300.00","       6370.00","       6355.55","       6382.20","     394268","          2516298196.15","      36871","      54441","         13.81"
"BAJAJFINSV","EQ","04-Sep-2020","       6355.55","       6250.00","       6422.95","       6201.00","       6301.60","       6277.20","       6308.02","     544380","          3433958274.60","      45681","      45704","          8.40"
"BAJAJFINSV","EQ","07-Sep-2020","       6277.20","       6324.00","       6349.25","       6212.00","       6263.85","       6263.65","       6280.59","     498573","          3131331001.45","      43818","      78383","         15.72"
"BAJAJFINSV","EQ","08-Sep-2020","       6263.65","       6299.00","       6330.00","       6212.05","       6225.00","       6234.25","       6280.63","     391769","          2460556754.00","      37549","      68683","         17.53"
"BAJAJFINSV","EQ","09-Sep-2020","       6234.25","       6208.80","       6220.00","       5981.60","       6054.00","       6026.80","       6047.13","     929750","          5622317999.80","      84445","     180245","         19.39"
"BAJAJFINSV","EQ","10-Sep-2020","       6026.80","       6079.00","       6192.00","       6042.85","       6135.00","       6129.25","       6126.56","     531609","          3256931956.95","      47070","      42196","          7.94"
"BAJAJFINSV","EQ","11-Sep-2020","       6129.25","       6128.55","       6174.60","       6080.00","       6118.00","       6128.40","       6119.23","     465485","          2848411707.85","      38690","     102039","         21.92"
"BAJAJFINSV","EQ","14-Sep-2020","       6128.40","       6158.00","       6194.00","       6091.00","       6107.40","       6112.15","       6137.97","     416142","          2554266986.90","      37293","      71086","         17.08"
"BAJAJFINSV","EQ","15-Sep-2020","       6112.15","       6130.00","       6159.00","       6027.45","       6118.85","       6115.55","       6098.02","     492987","          3006246592.60","      42672","     120461","         24.43"
"BAJAJFINSV","EQ","16-Sep-2020","       6115.55","       6141.60","       6239.95","       6101.15","       6146.90","       6145.95","       6160.09","     403278","          2484227925.20","      37145","      63794","         15.82"
"BAJAJFINSV","EQ","17-Sep-2020","       6145.95","       6118.90","       6123.65","       5990.10","       6010.75","       6007.00","       6038.43","     519253","          3135471805.15","      47452","     119764","         23.06"
